cName,PCON11CD,country,region,leave,FishandChipShopsandRestaurants,totalRestaurants,house,salary,publicsector,degree,age,nonukborn,health
South East Cornwall,E14000938,England,South West,0.549465019,294,1855,175000,459.2,14.1,26.3,47,4,79.3
Leeds West,E14000781,England,Yorkshire and The Humber,0.549770289,371,2248,107500,453,23.7,22,38,9.8,80
North West Durham,E14000856,England,North East,0.549829276,385,1874,104000,492.2,15.2,23.5,31,2.7,76.3
St Ives,E14000964,England,South West,0.551260072,276,1673,209000,389.2,16.3,26.6,35,4.5,78
Caerphilly,W07000076,Wales,Wales,0.55157605,770,3196,125000,470.1,29.7,20.6,36,2.7,75.7
Hemel Hempstead,E14000739,England,East of England,0.551688043,183,1997,230000,552.9,15.5,26.1,32,11.5,83.3
South West Devon,E14000950,England,South West,0.552296083,454,3109,179000,545.3,17.3,28.1,45,4.1,82.4
Bromsgrove,E14000605,England,West Midlands,0.553651279,608,3737,205000,575.2,15.1,30.5,35,4,82.5
Carmarthen West and South Pembrokeshire,W07000066,Wales,Wales,0.553661948,200,1284,158000,429.8,31.6,25,37,4.7,77.2
Penrith and The Border,E14000877,England,North West,0.553668616,186,1009,170000,443.9,18.8,26.9,44,3.2,81.5
Fareham,E14000699,England,South East,0.554141921,185,1246,210000,554.1,17.9,29.5,47,5.7,84.1
Luton South,E14000801,England,East of England,0.554446273,149,1994,153250,496.7,12.5,22.8,43,33.1,83
Llanelli,W07000045,Wales,Wales,0.554835551,176,968,100000,479,26.9,21,49,4.7,74
Haltemprice and Howden,E14000724,England,Yorkshire and The Humber,0.554973644,538,2857,161000,617.6,24.8,30.8,42,3.9,82.7
Bolton West,E14000580,England,North West,0.555387153,558,2241,125000,500.8,11.6,27.3,27,5.2,80.7
Berwick-upon-Tweed,E14000554,England,North East,0.555517331,97,621,155000,503.1,17.2,25.9,43,3.2,78.6
Newark,E14000829,England,East Midlands,0.557533113,300,1987,160000,463.8,18.1,28,46,5.7,81.3
Preseli Pembrokeshire,W07000065,Wales,Wales,0.557690731,159,860,140000,466.7,34.6,25.4,37,4.5,78.8
Suffolk Coastal,E14000981,England,East of England,0.558157142,349,2303,203000,523.4,13.3,26.9,38,5.9,80.3
Maidstone and The Weald,E14000804,England,South East,0.558683046,237,1988,205000,511.2,28.2,27.2,38,11,83.3
New Forest West,E14000828,England,South East,0.558786158,280,2161,265000,514,14.2,28.8,36,6.5,79.4
Vale of Clwyd,W07000060,Wales,Wales,0.559417007,191,1059,121000,431.8,36.9,21.8,46,4.3,76.6
Montgomeryshire,W07000063,Wales,Wales,0.559858487,67,579,150000,425.5,19.6,24.7,38,3.8,80
Orpington,E14000872,England,London,0.575414984,302,2248,290000,630,18.5,28.4,35,10,83.9
Gateshead,E14000709,England,North East,0.560469318,405,2725,117850,499.2,28.5,20.7,46,7.5,75.7
Newton Abbot,E14000835,England,South West,0.56101102,293,1873,190000,447.4,18.4,25.5,45,4.5,79
